bezirk,key,ortsteil,lat,lng,query,place_type,place_id,name,addr,place_lat,place_lng
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJhX6bwAxRqEcRkZurgyAaAMU,Arminius Market Hall,"Arminiusstraße 2-4, 10551 Berlin, Germany",52.52780629999999,13.3386608
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJ32eWBCJOqEcRlmJO0gkkR9E,Asia Market Lee GmbH,"Dircksenstraße 101-103, 10179 Berlin, Germany",52.5190242,13.4149089
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJ99S8mv9QqEcRZxIPBXtoDro,Bikini Berlin,"Budapester Str. 38-50, 10787 Berlin, Germany",52.5057288,13.3346547
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJOZG7315OqEcRVs8ZP5sx0mQ,Boxhagener Platz,"Grünberger Str. 75, 10245 Berlin, Germany",52.5109507,13.4597037
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJ_SKT7opOqEcR-kwMRzlB104,EDEKA Rigaer street,"Rigaer Str. 44, 10247 Berlin, Germany",52.5156423,13.4683183
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJ-4YNDQtRqEcRAXPeBWbA4ks,Go Asia Berlin-Mitte,"Turmstraße 29, 10551 Berlin, Germany",52.52659269999999,13.3418573
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJpU9lbv5QqEcRi2P-1X1gkno,Hit Ullrich Consumer market,"Kantstraße 7, 10623 Berlin, Germany",52.506343,13.3313101
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJnbNuyRhPqEcRUIN-creCDbw,Holzmarkt,"Holzmarktstraße 19, 10243 Berlin, Germany",52.5112384,13.4271123
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJYb9yIlRQqEcR7A7Zwwy7q-0,Kaufhaus des Westens,"Tauentzienstraße 21-24, 10789 Berlin, Germany",52.5016021,13.340993
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJ8TbTJwJOqEcRvPFwPGvwmMw,Kollwitzplatz,"Kollwitzstraße 1, 10405 Berlin, Germany",52.5363177,13.4169339
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJ7aVia_lQqEcRXRIgdsB4UFA,Lidl,"Meinekestraße 22, 10719 Berlin, Germany",52.501633,13.3293071
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJMUj5z85RqEcRJFWt9uG8OZ8,Mall of Berlin,"Leipziger Pl. 12, 10117 Berlin, Germany",52.5105259,13.3808092
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJi8XB0NlPqEcRGxxtloPjBz4,Marheineke Markthalle,"Marheinekepl. 15, 10961 Berlin, Germany",52.48933,13.394788
Mitte,101,Mitte,52.5372897,13.360274300000002,street market,,ChIJvaZWgElOqEcRElWjL2P9AZg,Markthalle Neun,"Eisenbahnstraße 42/43, 10997 Berlin, Germany",52.50197679999999,13.4317228
