place_id,local_date,local_weekday,local_hour,current_pop,usual_pop
ChIJQ5oyBrEOvUcRhjNaUv8hbg4,2020-04-27,0,10,22,36
ChIJw0T7eDMJvUcRJrBoZAkim5I,2020-04-27,0,10,38,49
ChIJed_cn7MOvUcRl0bmRz8gs1Q,2020-04-27,0,10,24,34
ChIJR_IQWTUJvUcRxOtF3cYnZQs,2020-04-27,0,10,27,62
ChIJZWzwv5UOvUcR7Utmh7wfvBM,2020-04-27,0,10,17,39
ChIJQZX5bMEOvUcRtuw9Nz3Ii7U,2020-04-27,0,10,33,56
ChIJbeNwdaMOvUcRbz4EuqIJ1wU,2020-04-27,0,10,16,30
ChIJY6B4ArgOvUcRuh2LuM6ZX54,2020-04-27,0,10,21,37
ChIJ08EgVZMOvUcRyhQNuujwkPw,2020-04-27,0,10,36,46
ChIJo8Vk9scOvUcRYq8Qedw0OOY,2020-04-27,0,10,31,46
ChIJ-fkMadwOvUcRCiirbxlpyME,2020-04-27,0,10,52,59
ChIJYVLgVZMOvUcRPtZpzECCzyg,2020-04-27,0,10,30,45
ChIJqfK8z5YOvUcRNBVkcG1VRbw,2020-04-27,0,10,44,42
ChIJjy5nrIgOvUcRmksWst_-_LM,2020-04-27,0,10,22,30
ChIJsa6CVtUIvUcRvVVbPu8Frp8,2020-04-27,0,10,37,53
ChIJT7ZKT9wOvUcRBFitBWufZ08,2020-04-27,0,10,37,41
ChIJ5TCLAE4JvUcRFfU7pWoXItE,2020-04-27,0,10,24,27
ChIJiUY_dFUJvUcR29ksQIIMVWo,2020-04-27,0,10,16,48
ChIJowuoqVEJvUcR7sTJ-V2AH34,2020-04-27,0,10,50,55
ChIJwZ15CsMOvUcRumFpht0TW20,2020-04-27,0,10,101,19
ChIJSb6_XuwOvUcRCEdUHHEwX_I,2020-04-27,0,10,27,45
ChIJW6pU7WYOvUcRQ_SR8_6bDD0,2020-04-27,0,10,24,57
ChIJB0wv43QJvUcRjA0OAA27UDI,2020-04-27,0,10,20,68
ChIJfZ8f5toLvUcR6d3WSith4Pw,2020-04-27,0,10,38,46
ChIJ3YiLHtkIvUcRVtN7UXFTjUY,2020-04-27,0,10,12,28
ChIJf8ElaQYMvUcRADkppjKJbJY,2020-04-27,0,10,12,85
ChIJWcOnbUIOvUcROQdOW8HXsYA,2020-04-27,0,10,64,56
ChIJl-tZgD4MvUcRfdoHxzoHioI,2020-04-27,0,10,24,54
ChIJ17RksijHl0cR4PHet2jHLtk,2020-04-27,0,10,34,47
ChIJmWjNqJUOvUcRUsNmv8T48aU,2020-04-27,0,10,13,32
ChIJn4CMuuYPvUcRfPKCcPdTpwQ,2020-04-27,0,10,23,29
ChIJP_Xot-wOvUcR-dSw-xUxv7I,2020-04-27,0,10,20,27
ChIJ31Bw3q4OvUcR4QVmqFfbV_o,2020-04-27,0,10,21,35
ChIJ92APYaMOvUcRcg1l2X-EkLU,2020-04-27,0,10,21,52
ChIJTSwzb6kOvUcRMvHUcreBrj4,2020-04-27,0,10,27,30
ChIJs-NKmaQOvUcRbbhOYjE20lE,2020-04-27,0,10,16,35
ChIJF_W9P6MOvUcRrguRzyfBAXE,2020-04-27,0,10,7,21
ChIJAQAAQAAMvUcRUSwxL51qv9g,2020-04-27,0,10,19,63
ChIJg_3oW0IJvUcR9BT7lVrqfo8,2020-04-27,0,10,19,37
ChIJKZrvbTIJvUcRs_VW0BxDzTQ,2020-04-27,0,10,32,64
ChIJjSGVotUOvUcR9F6cwifo0Bg,2020-04-27,0,10,37,45
ChIJOXR9whwMvUcRy8-CAt9Kyxk,2020-04-27,0,10,18,32
ChIJ4_nUmhwMvUcREmYOR5uE3Qw,2020-04-27,0,10,20,46
ChIJbcf5HfkIvUcRqcHPXU9zo3U,2020-04-27,0,10,12,34
ChIJBfZq_dYLvUcRzB94XecGQX0,2020-04-27,0,10,14,46
ChIJUaUlVFUJvUcRMbhptK6d0BI,2020-04-27,0,10,20,53
ChIJg_3oW0IJvUcRBAs_VWMerEQ,2020-04-27,0,10,31,45
ChIJI2_gp90LvUcRYXArV3ifk7Y,2020-04-27,0,10,28,57
ChIJp9hf_-0JvUcRiQYq7yI3fCk,2020-04-27,0,10,28,42
ChIJOUEs3bIPvUcRSUjKPFOwyg0,2020-04-27,0,10,33,50
ChIJ507EZq8OvUcR2PriZSG_GlY,2020-04-27,0,10,5,9
ChIJSccC6KQOvUcRXJf319uFTJQ,2020-04-27,0,10,5,25
ChIJWwhlga4OvUcRhvUuE9mtvLI,2020-04-27,0,10,7,30
ChIJ02KY-a4OvUcRGKv2BDwPst4,2020-04-27,0,10,9,12
ChIJayv4lZd1nkcR0e_vfGLfm8k,2020-04-27,0,10,12,6
ChIJUYaFpvB1nkcRHLHMm23OcwY,2020-04-27,0,10,21,10
ChIJySIbSo11nkcR6g3VmgfXU40,2020-04-27,0,10,10,10
ChIJFUD79OPfnUcR-fZ4tQF-ywU,2020-04-27,0,10,11,6
ChIJ78jp3Mp3nkcR3dl2Bf1BKh4,2020-04-27,0,10,10,12
ChIJadODiC10nkcRXcKYomT6gzo,2020-04-27,0,10,19,11
ChIJowqouYZ1nkcRuS69G6cgbjs,2020-04-27,0,10,24,9
ChIJYXjjz_N1nkcRciyDilNW7tw,2020-04-27,0,10,32,30
ChIJb-P-HdR1nkcRWHOx1Q3VXdk,2020-04-27,0,10,27,9
ChIJj90h7oB1nkcRc22wlVufnWw,2020-04-27,0,10,26,28
ChIJuVGxxf51nkcRwhxFwvIr7EM,2020-04-27,0,10,13,59
ChIJ6xMu_c12nkcRdROoCrGUCDw,2020-04-27,0,10,8,40
ChIJN4x7l8renUcRa_KhONr3goY,2020-04-27,0,10,13,32
ChIJcea2ixx2nkcRvU6nU_dKiiE,2020-04-27,0,10,11,42
ChIJ6eTgY43fnUcRzgHkBYpr1PM,2020-04-27,0,10,7,35
ChIJ7UIYvVXfnUcR2BE-CanBu0I,2020-04-27,0,10,38,47
ChIJgUuxEu7YnUcRVKjD1tBlLqc,2020-04-27,0,10,36,39
ChIJATwb7KV2nkcRUSq1YiXtTkg,2020-04-27,0,10,21,44
ChIJW0nflfl1nkcRvXxPJHMYMR4,2020-04-27,0,10,13,59
ChIJp_rHl9TenUcRmqQHXcEwV_w,2020-04-27,0,10,6,27
ChIJ23Mrqzd1nkcRBy0eVEuKJ2g,2020-04-27,0,10,12,52
ChIJnZ--2vJ1nkcR7gE30pWRolI,2020-04-27,0,10,11,11
ChIJefuMp_d2nkcRMv6eef0Xwl8,2020-04-27,0,10,15,23
ChIJa7EAiN_enUcR2ArvdpbtEtU,2020-04-27,0,10,6,13
ChIJxfxSz4t1nkcRLxq9ze1wwak,2020-04-27,0,10,5,8
ChIJ_0T5Jot1nkcRZ3kV_GGLAFE,2020-04-27,0,10,26,51
ChIJ-UVJMo11nkcRFMwLk9wFaGM,2020-04-27,0,10,11,11
ChIJg-Bu7Il1nkcR1XYh_kKr8pE,2020-04-27,0,10,25,16
ChIJWxCC4sDXnUcR2ntEma9o4Fc,2020-04-27,0,10,61,43
ChIJmf_l4x92nkcRsThUXWmh6B0,2020-04-27,0,10,54,42
ChIJeQlIGGx0nkcRrdL5G5GP84s,2020-04-27,0,10,70,37
ChIJlZm7Tnp0nkcR3TbKWvdaNJg,2020-04-27,0,10,68,44
ChIJL_s1bLMKnkcRTEkQrFHof_g,2020-04-27,0,10,48,39
ChIJH1xpunx1nkcRp1Zdcf_EL_o,2020-04-27,0,10,111,34
ChIJfYLwd_DXnUcRjdJUWGUfx9s,2020-04-27,0,10,38,32
ChIJcf0J_CLZnUcRk_r3M9cguDs,2020-04-27,0,10,53,36
ChIJ5Vdj1TbYnUcRC4z5J77KuF4,2020-04-27,0,10,63,44
ChIJbQA_Bj10nkcRHHPosyDvfyk,2020-04-27,0,10,37,41
ChIJ7bLPNibgnUcRX9jz_YJXoRE,2020-04-27,0,10,54,43
ChIJM2r41aV3nkcRSBJXtSj1-F4,2020-04-27,0,10,20,44
ChIJb3fkiOTXnUcR_yvU3BZ4Cik,2020-04-27,0,10,65,40
ChIJb9N0CzzWnUcR1Ud74QR7E78,2020-04-27,0,10,63,42
ChIJBRn0Bj10nkcR1-LrSPCXCw0,2020-04-27,0,10,37,41
ChIJXcTixYLfnUcRVzPu0MBBcNk,2020-04-27,0,10,41,42
ChIJNTRpCPd1nkcRGWN_ZyLbxSg,2020-04-27,0,10,10,24
