place_id,local_date,local_weekday,local_hour,current_pop,usual_pop
ChIJv89RkHhSqEcRrqajjLK2R4o,2020-04-14,1,15,135,41
ChIJlY1gkZJTqEcRjhSX4jioS6o,2020-04-14,1,15,150,36
ChIJsba0P7hPqEcRJXRxDCgjlyA,2020-04-14,1,15,51,53
ChIJNWzO7SBRqEcRTPmbE-Et0pw,2020-04-14,1,15,63,44
ChIJc89ZqsNQqEcRh49E9EiYIFA,2020-04-14,1,15,91,50
ChIJ96oZf1RQqEcROpq9D80fxaE,2020-04-14,1,15,96,48
ChIJA9JKCbpSqEcRMpU5D6r1C-0,2020-04-14,1,15,74,31
ChIJF0aL-gRQqEcR7PKlUJha7dw,2020-04-14,1,15,68,39
ChIJGSlb6XdTqEcR4qDygg7QHBw,2020-04-14,1,15,56,57
ChIJ3YH-iLRIqEcR_skugJtFF_c,2020-04-14,1,15,86,43
ChIJ1Tr9mh9MqEcRi65VZd_bsxw,2020-04-14,1,15,75,33
ChIJHwQc3NFMqEcRIcgFuZ2YqVs,2020-04-14,1,15,105,36
ChIJS2r47UZOqEcRbCQd5Y_XAjc,2020-04-14,1,15,72,40
ChIJlZcGET1MqEcRTlaAls7LhIY,2020-04-14,1,15,73,34
ChIJEzsb7hRIqEcRgtjEj8bNBkY,2020-04-14,1,15,99,45
ChIJh5o-97FaqEcRdMncfgLQnw0,2020-04-14,1,15,140,42
ChIJH3ZUEZ1RqEcRXjbRUcRIvZ0,2020-04-14,1,15,63,33
ChIJm7BjfJVNqEcRaJfSCndU39M,2020-04-14,1,15,73,31
ChIJf9XwqzBQqEcRiyRlXKZeoRI,2020-04-14,1,15,73,51
ChIJ4VdGOqhHqEcRUf48ZF9qgqk,2020-04-14,1,15,101,43
ChIJ5yZ6zqlHqEcRPiEC9qBVsTY,2020-04-14,1,15,123,47
ChIJkZuf7lpRqEcR91TR9RkS0bQ,2020-04-14,1,15,78,48
ChIJt5_ZZ-1JqEcR2ftoU9Vgr6c,2020-04-14,1,15,89,54
ChIJEXyAYvZRqEcRMqssH0YWRBw,2020-04-14,1,15,60,44
ChIJ0Zv44-pOqEcRGH8zvwBI7_A,2020-04-14,1,15,75,48
ChIJDdGTY2JSqEcRCw03AmkS37E,2020-04-14,1,15,66,38
ChIJ011foPJWqEcRYBHQ3Xf6dU0,2020-04-14,1,15,100,46
ChIJ8-VpZVxWqEcRlYKKXiz8Z9Y,2020-04-14,1,15,86,25
ChIJ0aZ2DmNOqEcRWdJJ8cZvdKs,2020-04-14,1,15,59,38
ChIJ7S04c2tIqEcROy8rMdQ7EPU,2020-04-14,1,15,141,41
ChIJ_3Pm_L1RqEcRPtHs6p2i0AY,2020-04-14,1,15,17,83
ChIJ4dHdSq5RqEcReqvQ3PGSw4M,2020-04-14,1,15,34,37
ChIJq6qqasRPqEcRXNfStONfLpI,2020-04-14,1,15,64,42
ChIJh-VxU6FOqEcRvwU-Q_qUi38,2020-04-14,1,15,46,62
ChIJd-d5Rx1SqEcRgCz33OsCSZQ,2020-04-14,1,15,20,6
ChIJe8FmEzBQqEcRth79TMVowwU,2020-04-14,1,15,58,42
ChIJJbrv0uRRqEcRjPFVxVJ4e5o,2020-04-14,1,15,25,31
ChIJ_S5uaxJOqEcRdg-gu1fEgcI,2020-04-14,1,15,55,24
ChIJt-a62fz1qEcRIJwFoSAi9IQ,2020-04-14,1,15,78,17
ChIJW2oZB8ZRqEcRyFvuEpCnNBQ,2020-04-14,1,15,1,57
